評論數,標題,鏈接
33,ThreadPool 實作 #3. AutoResetEvent / ManualResetEvent,http://columns.chicken-house.net/2007/12/17/threadpool-%e5%af%a6%e4%bd%9c-3-autoresetevent-manualresetevent/
31,"該如何學好 ""寫程式"" #2. 為什麼 programmer 該學資料結構 ??",http://columns.chicken-house.net/2008/10/01/%e8%a9%b2%e5%a6%82%e4%bd%95%e5%ad%b8%e5%a5%bd-%e5%af%ab%e7%a8%8b%e5%bc%8f-2-%e7%82%ba%e4%bb%80%e9%ba%bc-programmer-%e8%a9%b2%e5%ad%b8%e8%b3%87%e6%96%99%e7%b5%90%e6%a7%8b/
23,"該如何學好 ""寫程式"" ??",http://columns.chicken-house.net/2008/09/27/%e8%a9%b2%e5%a6%82%e4%bd%95%e5%ad%b8%e5%a5%bd-%e5%af%ab%e7%a8%8b%e5%bc%8f/
22,"Canon G9 入手, 不過...",http://columns.chicken-house.net/2007/11/05/canon-g9-%e5%85%a5%e6%89%8b-%e4%b8%8d%e9%81%8e/
11,"架構師觀點 - 面試題分享 #1, 線上交易的正確性",http://0.0.0.0:4000/2018/03/25/interview01-transaction/
10,敗家新目標... Dopod C720w,http://columns.chicken-house.net/2006/12/31/%e6%95%97%e5%ae%b6%e6%96%b0%e7%9b%ae%e6%a8%99-dopod-c720w/
10,Google 讓人越來越笨?,http://columns.chicken-house.net/2008/09/28/google-%e8%ae%93%e4%ba%ba%e8%b6%8a%e4%be%86%e8%b6%8a%e7%ac%a8/
10,"該如何學好 ""寫程式"" #4. 你的程式夠 ""可靠"" 嗎?",http://columns.chicken-house.net/2008/10/20/%e8%a9%b2%e5%a6%82%e4%bd%95%e5%ad%b8%e5%a5%bd-%e5%af%ab%e7%a8%8b%e5%bc%8f-4-%e4%bd%a0%e7%9a%84%e7%a8%8b%e5%bc%8f%e5%a4%a0-%e5%8f%af%e9%9d%a0-%e5%97%8e/
9,Canon PowerShot S2 IS,http://columns.chicken-house.net/2005/08/13/canon-powershot-s2-is/
9,[RUN! PC] 2008 四月號,http://columns.chicken-house.net/2008/04/03/run-pc-2008-%e5%9b%9b%e6%9c%88%e8%99%9f/
9,利用 WPF 讀取 CANON (.CR2) 的 EXIF 及縮圖 (C# 範例程式說明),http://columns.chicken-house.net/2008/06/23/%e5%88%a9%e7%94%a8-wpf-%e8%ae%80%e5%8f%96-canon-cr2-%e7%9a%84-exif-%e5%8f%8a%e7%b8%ae%e5%9c%96-c-%e7%af%84%e4%be%8b%e7%a8%8b%e5%bc%8f%e8%aa%aa%e6%98%8e/
9,Thread Sync #2. 實作篇 - 互相等待的兩個執行緒,http://columns.chicken-house.net/2008/08/15/thread-sync-2-%e5%af%a6%e4%bd%9c%e7%af%87-%e4%ba%92%e7%9b%b8%e7%ad%89%e5%be%85%e7%9a%84%e5%85%a9%e5%80%8b%e5%9f%b7%e8%a1%8c%e7%b7%92/
9,生產者 vs 消費者 - BlockQueue 實作,http://columns.chicken-house.net/2008/10/18/%e7%94%9f%e7%94%a2%e8%80%85-vs-%e6%b6%88%e8%b2%bb%e8%80%85-blockqueue-%e5%af%a6%e4%bd%9c/
9,"該如何學好 ""寫程式"" #5. 善用 TRACE / ASSERT",http://columns.chicken-house.net/2008/11/03/%e8%a9%b2%e5%a6%82%e4%bd%95%e5%ad%b8%e5%a5%bd-%e5%af%ab%e7%a8%8b%e5%bc%8f-5-%e5%96%84%e7%94%a8-trace-assert/
9,"微服務架構 #4, 如何強化微服務的安全性? API Token / JWT 的應用",http://columns.chicken-house.net/2016/12/01/microservice7-apitoken/
8,原來 System.Net.Mail 也會有 Bug ...,http://columns.chicken-house.net/2007/04/06/%e5%8e%9f%e4%be%86-system-net-mail-%e4%b9%9f%e6%9c%83%e6%9c%89-bug/
8,水電工日誌 2. 資訊插座 + 面板,http://columns.chicken-house.net/2007/09/14/%e6%b0%b4%e9%9b%bb%e5%b7%a5%e6%97%a5%e8%aa%8c-2-%e8%b3%87%e8%a8%8a%e6%8f%92%e5%ba%a7-%e9%9d%a2%e6%9d%bf/
8,很抱歉，本站不歡迎來自 [百度] (Baidu.com) 的訪客 !!,http://columns.chicken-house.net/2008/06/28/%e5%be%88%e6%8a%b1%e6%ad%89%ef%bc%8c%e6%9c%ac%e7%ab%99%e4%b8%8d%e6%ad%a1%e8%bf%8e%e4%be%86%e8%87%aa-%e7%99%be%e5%ba%a6-baidu-com-%e7%9a%84%e8%a8%aa%e5%ae%a2/
8,架構師觀點: 你需要什麼樣的 CI / CD ?,http://0.0.0.0:4000/2017/08/05/what-cicd-do-you-need/
